                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.234,                 3.9068,                 1.3148,                0.19879,                0.37179,                 0.2495,                0.17698,                 1.0936,                 3.5433,                 1.3172,             0.00010719,             0.00010719,             0.00010719
                      2,                 1.1951,                 2.7485,                   1.28,                0.35566,                0.59423,                0.49953,                0.36805,                 1.1119,                 2.9635,                 1.3354,             0.00020423,             0.00020423,             0.00020423
                      3,                 1.1781,                 2.3468,                 1.2525,                0.54246,                0.57658,                0.56524,                0.41955,                 1.0679,                  2.589,                 1.2629,              0.0002906,              0.0002906,              0.0002906
                      4,                 1.1327,                 2.0151,                 1.2202,                 0.6649,                0.62582,                 0.6748,                0.50127,                 1.0422,                 2.1538,                 1.2476,             0.00027503,             0.00027503,             0.00027503
                      5,                 1.1239,                 1.8311,                 1.2102,                0.64918,                0.71047,                0.74263,                0.55938,                 1.0073,                 1.9798,                  1.215,             0.00027503,             0.00027503,             0.00027503
                      6,                 1.0912,                 1.6511,                 1.1865,                0.69385,                0.75231,                0.74597,                0.57579,                   1.02,                 1.8275,                 1.2198,             0.00025905,             0.00025905,             0.00025905
                      7,                 1.0903,                 1.5169,                 1.1841,                0.78123,                 0.7398,                0.82325,                0.64627,                0.97086,                 1.5294,                 1.1703,             0.00024306,             0.00024306,             0.00024306
                      8,                 1.0494,                 1.4036,                  1.172,                0.76428,                0.79841,                0.83731,                0.66058,                0.95126,                 1.3931,                 1.1592,             0.00022707,             0.00022707,             0.00022707
                      9,                 1.0295,                 1.2725,                 1.1461,                0.83318,                0.81157,                0.86495,                 0.6864,                0.93561,                 1.3222,                  1.148,             0.00021108,             0.00021108,             0.00021108
                     10,                 1.0327,                 1.2137,                 1.1523,                0.84931,                0.84389,                0.89266,                0.70678,                0.92421,                 1.1644,                 1.1443,             0.00019509,             0.00019509,             0.00019509
                     11,                 0.9519,                 1.1366,                 1.1232,                0.84843,                  0.836,                0.90119,                 0.7189,                0.90725,                 1.0881,                 1.1221,              0.0001791,              0.0001791,              0.0001791
                     12,                0.92263,                 1.0245,                 1.1028,                0.85781,                0.85627,                0.90133,                 0.7241,                0.87475,                 1.0454,                 1.1189,             0.00016311,             0.00016311,             0.00016311
                     13,                0.90949,                0.95113,                 1.0977,                0.86736,                0.87187,                0.91715,                  0.734,                0.88584,                0.96433,                  1.098,             0.00014713,             0.00014713,             0.00014713
                     14,                0.88046,                0.86451,                 1.0754,                0.87091,                0.89134,                0.91802,                0.74007,                0.86272,                0.92022,                 1.0909,             0.00013114,             0.00013114,             0.00013114
                     15,                0.85648,                0.81655,                 1.0651,                0.91284,                0.87577,                0.92562,                0.74998,                0.84105,                0.85453,                  1.079,             0.00011515,             0.00011515,             0.00011515
                     16,                0.83677,                0.78819,                 1.0454,                0.89974,                0.88483,                0.93759,                0.76763,                0.82503,                 0.8151,                 1.0664,             9.9161e-05,             9.9161e-05,             9.9161e-05
                     17,                0.81988,                0.74836,                 1.0441,                0.89469,                0.89906,                0.93288,                0.76699,                0.81209,                  0.792,                  1.055,             8.3173e-05,             8.3173e-05,             8.3173e-05
                     18,                0.80597,                0.72349,                  1.026,                0.89841,                0.88808,                0.93096,                0.76504,                0.80918,                0.78009,                 1.0599,             6.7184e-05,             6.7184e-05,             6.7184e-05
                     19,                0.79855,                 0.6934,                 1.0223,                0.92492,                0.89259,                0.94514,                 0.7782,                 0.8004,                0.73616,                 1.0552,             5.1196e-05,             5.1196e-05,             5.1196e-05
                     20,                0.77571,                0.67936,                 1.0123,                0.94029,                0.87941,                0.94112,                0.78178,                0.79076,                0.72236,                 1.0469,             3.5207e-05,             3.5207e-05,             3.5207e-05
