                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3944,                 2.8051,                 1.3225,                0.32853,                0.37063,                  0.212,                0.15269,                 1.3505,                 2.3785,                 1.2869,             0.00010758,             0.00010758,             0.00010758
                      2,                 1.4088,                 2.1362,                 1.3448,                0.26261,                0.52317,                0.32373,                0.23443,                 1.4079,                 2.0751,                 1.3342,             0.00020459,             0.00020459,             0.00020459
                      3,                 1.4325,                 1.9704,                 1.3576,                0.41241,                0.47264,                0.37441,                0.27173,                 1.4338,                 1.9451,                 1.3461,             0.00029094,             0.00029094,             0.00029094
                      4,                 1.4191,                 1.8555,                 1.3523,                0.36461,                0.52298,                0.44763,                0.33256,                 1.3988,                 1.7682,                 1.3289,             0.00027503,             0.00027503,             0.00027503
                      5,                 1.4077,                    1.8,                 1.3485,                0.55945,                0.55641,                0.51513,                0.38874,                 1.3896,                 1.6921,                 1.3185,             0.00027503,             0.00027503,             0.00027503
                      6,                 1.3875,                   1.73,                 1.3322,                0.57518,                 0.6038,                0.59629,                0.44971,                 1.3707,                 1.5867,                 1.3099,             0.00025905,             0.00025905,             0.00025905
                      7,                 1.3755,                 1.6793,                 1.3216,                0.48787,                0.63187,                 0.5969,                0.45422,                 1.3497,                 1.5582,                 1.2922,             0.00024306,             0.00024306,             0.00024306
                      8,                 1.3551,                 1.6386,                 1.3152,                0.61348,                0.59848,                 0.6135,                0.47112,                 1.3375,                 1.5154,                 1.2858,             0.00022707,             0.00022707,             0.00022707
                      9,                 1.3425,                 1.6063,                 1.3087,                0.64245,                0.64699,                0.64579,                0.49507,                  1.329,                 1.4882,                 1.2778,             0.00021108,             0.00021108,             0.00021108
                     10,                 1.3246,                 1.5595,                 1.2917,                0.60163,                0.66915,                0.68327,                0.52534,                 1.3174,                 1.4533,                 1.2632,             0.00019509,             0.00019509,             0.00019509
                     11,                 1.3338,                 1.4898,                 1.2988,                0.65097,                0.68535,                0.70294,                0.55156,                 1.3029,                  1.417,                 1.2592,              0.0001791,              0.0001791,              0.0001791
                     12,                 1.3142,                 1.4377,                 1.2843,                0.68856,                0.66931,                0.71214,                0.55885,                 1.2873,                 1.3961,                 1.2511,             0.00016311,             0.00016311,             0.00016311
                     13,                 1.2982,                 1.4032,                 1.2732,                0.71024,                0.68539,                0.72508,                0.57015,                 1.2774,                 1.3623,                  1.241,             0.00014713,             0.00014713,             0.00014713
                     14,                 1.2901,                 1.3729,                 1.2687,                0.71573,                0.70762,                0.73892,                0.58667,                 1.2691,                 1.3505,                  1.233,             0.00013114,             0.00013114,             0.00013114
                     15,                 1.2715,                 1.3352,                 1.2528,                0.72356,                0.71653,                 0.7457,                0.59121,                 1.2643,                 1.3359,                 1.2302,             0.00011515,             0.00011515,             0.00011515
                     16,                 1.2547,                 1.3138,                 1.2447,                0.73729,                  0.728,                 0.7631,                 0.6108,                 1.2549,                 1.3143,                  1.223,             9.9161e-05,             9.9161e-05,             9.9161e-05
                     17,                 1.2399,                 1.2773,                 1.2335,                0.77283,                0.72815,                0.76526,                 0.6117,                  1.253,                 1.3009,                 1.2203,             8.3173e-05,             8.3173e-05,             8.3173e-05
                     18,                 1.2253,                 1.2523,                 1.2233,                0.79094,                0.71432,                0.78317,                0.62705,                 1.2467,                 1.2855,                  1.215,             6.7184e-05,             6.7184e-05,             6.7184e-05
                     19,                 1.2181,                 1.2335,                 1.2174,                0.76816,                0.73964,                0.78577,                0.63015,                   1.24,                 1.2797,                   1.21,             5.1196e-05,             5.1196e-05,             5.1196e-05
                     20,                 1.2061,                 1.2072,                 1.2073,                0.77329,                0.73779,                 0.7815,                0.62855,                 1.2344,                 1.2667,                 1.2054,             3.5207e-05,             3.5207e-05,             3.5207e-05
